Date,Open,High,Low,Close*,Adj Close**,Volume
1/2/2015,4240.25,4272.75,4201,4214.25,4214.25,229555
1/5/2015,4216,4220.75,4145,4161.75,4161.75,313771
1/6/2015,4166.5,4172.5,4082,4102.25,4102.25,426154
1/7/2015,4105.5,4163.25,4102.75,4151.5,4151.5,328184
1/8/2015,4152.25,4242.75,4152.25,4232.25,4232.25,272056
1/9/2015,4232.25,4252.5,4181,4200.75,4200.75,341966
1/12/2015,4201.25,4227.5,4151,4166.5,4166.5,319438
1/13/2015,4169.5,4247.75,4126.75,4158.5,4158.5,476645
1/14/2015,4158,4169.25,4100.5,4145.5,4145.5,450812
1/15/2015,4147.5,4190,4066,4089,4089,456035
1/16/2015,4072.5,4138.5,4041.5,4134,4134,359021
1/20/2015,4138.75,4175.25,4109,4167,4167,347445
1/21/2015,4166,4205.25,4137,4182.75,4182.75,327200
1/22/2015,4183.75,4269,4164.5,4264.75,4264.75,338354
1/23/2015,4265.5,4286.25,4250.25,4267,4267,227200
1/26/2015,4249.5,4278.25,4231.5,4269.25,4269.25,187612
1/27/2015,4266.75,4271,4142.75,4177.5,4177.5,363818
1/28/2015,4206,4234.5,4119.5,4124.25,4124.25,363115
1/29/2015,4125,4199.75,4095.75,4185.75,4185.75,358572
1/30/2015,4203.5,4208,4136,4141.25,4141.25,345604
2/2/2015,4143.5,4188,4085.5,4185.5,4185.5,353848
2/3/2015,4180.75,4222.75,4165.75,4216.25,4216.25,283374
2/4/2015,4207.75,4243,4187.5,4204,4204,269497
2/5/2015,4191,4254.75,4181.5,4247.5,4247.5,200569
2/6/2015,4251,4268.25,4209.75,4227.5,4227.5,253335
2/9/2015,4226.5,4232,4201.5,4214.25,4214.25,198223
2/10/2015,4219,4284,4211,4276,4276,225792
2/11/2015,4278.25,4322,4271,4296.5,4296.5,207031
2/12/2015,4308.5,4346.5,4285.75,4344.75,4344.75,219353
2/13/2015,4342.75,4382,4340.75,4377,4377,190386
2/17/2015,4373.5,4388.5,4364.5,4381.75,4381.75,194620
2/18/2015,4384.5,4393.5,4373.75,4386,4386,146465
2/19/2015,4390.25,4417.25,4376,4413.25,4413.25,168236
2/20/2015,4416.25,4445,4396,4438,4438,235154
2/23/2015,4439.75,4449.25,4429.75,4444.5,4444.5,133132
2/24/2015,4445.25,4455.75,4427,4450.25,4450.25,163047
2/25/2015,4449.25,4461,4429.25,4436.75,4436.75,173941
2/26/2015,4438.5,4464.75,4431,4461.75,4461.75,193611
2/27/2015,4460.5,4462.75,4435,4442.5,4442.5,173304
3/2/2015,4447,4483.25,4446.25,4477,4477,185330
3/3/2015,4479,4479,4432.5,4456.5,4456.5,198589
3/4/2015,4458.25,4458.25,4419.25,4444.25,4444.25,210995
3/5/2015,4444.25,4464.75,4432.75,4449.5,4449.5,185176
3/6/2015,4451.5,4460.5,4389.25,4405,4405,296605
3/8/2015,4411.75,4424.75,4391.75,4413.5,4413.5,217756
3/9/2015,4415.25,4415.75,4328.5,4331.25,4331.25,313249
3/10/2015,4334.25,4347.5,4304.25,4307.5,4307.5,260964
3/11/2015,4312.5,4339.5,4298.75,4330.75,4330.75,269241
3/12/2015,4331.75,4347.5,4288.25,4308.75,4308.75,218259
3/15/2015,4313.5,4372.75,4299.5,4359.5,4359.5,119758
3/16/2015,4355.5,4384.75,4348.75,4377.75,4377.75,118898
3/17/2015,4377.25,4441.5,4343.25,4427.25,4427.25,75864
3/18/2015,4427.5,4441.75,4419.5,4429.5,4429.5,39157
3/19/2015,4426.25,4467.25,4424.25,4461.25,4461.25,210568
3/22/2015,4448.5,4461.25,4436,4436.75,4436.75,149739
3/23/2015,4436.5,4461,4424.25,4429,4429,184226
3/24/2015,4429.25,4438.5,4320,4323.5,4323.5,320355
3/25/2015,4327,4331,4270,4310.75,4310.75,356229
3/26/2015,4313,4333.5,4297.25,4325.75,4325.75,209529
3/29/2015,4327.5,4381.75,4315.75,4372.5,4372.5,202012
3/30/2015,4370,4375.75,4320.75,4329.5,4329.5,224928
3/31/2015,4321.75,4334.25,4259,4313,4313,311506
4/1/2015,4316.75,4321,4288.5,4307.25,4307.25,168845
4/5/2015,4265,4354.75,4264.5,4342.25,4342.25,154026
4/6/2015,4339.75,4372.25,4330.25,4334,4334,171692
4/7/2015,4335.25,4379.25,4327.5,4374.75,4374.75,225547
4/8/2015,4378,4401.25,4352.75,4399.25,4399.25,201439
4/9/2015,4399,4416,4385.75,4414.75,4414.75,126565
4/12/2015,4415,4441.5,4399.5,4403.25,4403.25,171930
4/13/2015,4405.5,4414.5,4366.75,4397.75,4397.75,220750
4/14/2015,4400.25,4429,4388.75,4421.75,4421.75,170496
4/15/2015,4426.25,4429.5,4398,4415.25,4415.25,162971
4/16/2015,4416.25,4417.5,4324,4349,4349,302065
4/19/2015,4356.75,4417,4352.25,4407.5,4407.5,218236
4/20/2015,4402.75,4442.75,4402.75,4428.5,4428.5,190749
4/21/2015,4433,4459.5,4398.5,4445.25,4445.25,196846
4/22/2015,4438.5,4497.25,4418,4481.5,4481.5,252582
4/23/2015,4492.5,4536.25,4489.5,4529.25,4529.25,204737
4/26/2015,4533,4555.5,4509.25,4524.75,4524.75,224600
4/27/2015,4524.25,4531.25,4471.75,4516,4516,283966
4/28/2015,4512.25,4514,4456.25,4479.75,4479.75,290967
4/29/2015,4474,4478.25,4386.5,4408.25,4408.25,353283
4/30/2015,4414,4470.75,4409.75,4467.75,4467.75,197160
5/3/2015,4471.75,4503.5,4457,4476.5,4476.5,191856
5/4/2015,4474,4480.25,4399.5,4407.5,4407.5,306244
5/5/2015,4409,4423.5,4341.5,4373,4373,335134
5/6/2015,4371.5,4409.25,4332.5,4402.5,4402.5,249245
5/7/2015,4404,4462.75,4401,4448.75,4448.75,216447
5/10/2015,4452.5,4464.5,4426.75,4431.25,4431.25,170514
5/11/2015,4431.5,4438,4374.5,4420.75,4420.75,257296
5/12/2015,4423,4457.75,4417.5,4423.75,4423.75,200865
5/13/2015,4425.75,4493,4412.75,4490.25,4490.25,184396
5/14/2015,4489,4507.5,4477.75,4488.75,4488.75,140746
5/17/2015,4491.25,4517.75,4470.5,4507.25,4507.25,128602
5/18/2015,4509.75,4526.5,4496.5,4501.25,4501.25,127690
5/19/2015,4501.75,4534,4482.25,4505.5,4505.5,170963
5/20/2015,4500,4536.5,4486.5,4528.75,4528.75,123530
5/21/2015,4530.5,4542,4522,4528.75,4528.75,100980
5/25/2015,4527.5,4538.5,4455,4479.75,4479.75,228084
5/26/2015,4481.5,4551,4473,4542.25,4542.25,198538
5/27/2015,4540.5,4547.5,4521.75,4542.75,4542.75,152018
5/28/2015,4542,4545.25,4497.25,4511,4511,197740
5/31/2015,4514,4538.25,4486,4521.5,4521.5,216323
6/1/2015,4525.75,4531.75,4480.75,4503,4503,222449
6/2/2015,4503.25,4540.75,4501.25,4527.5,4527.5,190316
6/3/2015,4526.75,4527.25,4473.25,4496.5,4496.5,285057
6/4/2015,4494.75,4506.5,4449.25,4481.5,4481.5,232923
6/7/2015,4479.5,4483.25,4422,4432.25,4432.25,237404
6/8/2015,4435.75,4441.25,4390.25,4431.5,4431.5,226086
6/9/2015,4431.5,4498.25,4430.5,4488.75,4488.75,238886
6/10/2015,4486.25,4512.25,4479.25,4490.5,4490.5,186848
6/11/2015,4489.25,4491.25,4447.75,4454.75,4454.75,153829
6/14/2015,4443.5,4444.75,4394.25,4435.5,4435.5,145112
6/15/2015,4432.5,4463.5,4403,4459,4459,108589
6/16/2015,4459.25,4482.75,4440,4461.25,4461.25,67479
6/17/2015,4459.75,4541.75,4447.5,4538,4538,66534
6/18/2015,4536.5,4546.75,4526.75,4531,4531,162664
6/21/2015,4512.5,4552.25,4512.25,4532.75,4532.75,157035
6/22/2015,4538.75,4548.75,4522.75,4541.25,4541.25,116969
6/23/2015,4543.5,4555.25,4514.5,4515.75,4515.75,165445
6/24/2015,4520.25,4547.5,4500,4509.25,4509.25,175329
6/25/2015,4506.5,4517,4459.75,4480.5,4480.5,226373
6/28/2015,4429.75,4451.5,4368.25,4378,4378,334972
6/29/2015,4386.25,4412.25,4372,4390.25,4390.25,304509
6/30/2015,4392.75,4441.75,4392,4422,4422,191161
7/1/2015,4423.75,4441.5,4408.25,4428.75,4428.75,155244
7/5/2015,4427.75,4437.25,4344,4422.75,4422.75,285735
7/6/2015,4429.5,4448,4334.5,4422.25,4422.25,384237
7/7/2015,4422.5,4422.5,4336.5,4346.5,4346.5,335132
7/8/2015,4347.75,4408,4331.75,4339.5,4339.5,260171
7/9/2015,4345.75,4426.5,4345.75,4408.25,4408.25,236765
7/12/2015,4384,4491.75,4372.5,4488,4488,209774
7/13/2015,4487.25,4529.75,4484.5,4517.5,4517.5,156246
7/14/2015,4519.25,4539.5,4509.25,4536.5,4536.5,187307
7/15/2015,4534.5,4612.5,4531,4597.75,4597.75,192220
7/16/2015,4609.75,4654,4607.25,4650,4650,187930
7/19/2015,4649,4686,4646.5,4671.25,4671.25,169781
7/20/2015,4671.25,4683,4611.5,4666.5,4666.5,226216
7/21/2015,4618,4636.5,4588.75,4617,4617,235343
7/22/2015,4621.75,4634.75,4584.25,4620,4620,211215
7/23/2015,4633.5,4638.75,4544.5,4561.75,4561.75,236180
7/26/2015,4562.25,4568.25,4503.5,4522.5,4522.5,293740
7/27/2015,4521.25,4561.25,4497,4556,4556,280667
7/28/2015,4558,4579.5,4544,4565,4565,222563
7/29/2015,4562.75,4598.75,4530.75,4595.25,4595.25,226285
7/30/2015,4589.25,4608.75,4576.25,4585,4585,214679
8/2/2015,4583.25,4599.25,4540.5,4573,4573,251564
8/3/2015,4570.5,4581.25,4543.5,4551.75,4551.75,253010
8/4/2015,4551.5,4629,4551,4593.5,4593.5,247802
8/5/2015,4591.75,4608.75,4502.75,4524.75,4524.75,272055
8/6/2015,4527.25,4533.75,4480.5,4519,4519,249232
8/9/2015,4514,4580,4512.75,4566,4566,199353
8/10/2015,4582.5,4584.75,4485.5,4510.75,4510.75,301820
8/11/2015,4512.75,4535.5,4431.25,4533.5,4533.5,358454
8/12/2015,4529.75,4557,4508.75,4517.25,4517.25,234832
8/13/2015,4514.5,4534,4499,4531.75,4531.75,167712
8/16/2015,4532.5,4567.75,4503.25,4564.75,4564.75,191979
8/17/2015,4562.5,4573.5,4533.75,4544,4544,164755
8/18/2015,4543,4552.25,4483.25,4503.75,4503.75,331472
8/19/2015,4502.25,4513,4360,4366.25,4366.25,449728
8/20/2015,4367.75,4368.25,4189,4200.75,4200.75,614566
8/23/2015,4183.75,4196.25,3908.25,4003.25,4003.25,746533
8/24/2015,3998,4204.25,3997.75,4028.5,4028.5,630057
8/25/2015,4036.75,4229.5,3958.75,4214.5,4214.5,637925
8/26/2015,4222.75,4332.75,4205.25,4328,4328,475384
8/27/2015,4327,4340.75,4281.75,4333,4333,322070
8/30/2015,4324,4330.25,4258.5,4271.75,4271.75,303204
8/31/2015,4266,4268,4118.25,4158.25,4158.25,481009
9/1/2015,4150.75,4263.75,4136,4260,4260,340627
9/2/2015,4260.25,4304.25,4219.75,4229.5,4229.5,332566
9/3/2015,4231.75,4237.5,4155,4194,4194,354122
9/7/2015,4181.75,4305.5,4180,4298.5,4298.5,293906
9/8/2015,4300.5,4369.5,4240.25,4255,4255,354129
9/9/2015,4259,4327.25,4226.5,4295,4295,410492
9/10/2015,4294.75,4330,4259.5,4325.25,4325.25,127471
9/13/2015,4325.25,4357,4292.25,4310,4310,87550
9/14/2015,4311.5,4373.5,4290.75,4361,4361,148923.5
9/15/2015,4362.5,4393,4345.5,4391.5,4391.5,210297
9/16/2015,4385.75,4451.5,4368,4380.25,4380.25,271670.5
9/17/2015,4381.5,4392.75,4313,4325.25,4325.25,333044
9/20/2015,4324.75,4361.5,4286.5,4341.25,4341.25,254496
9/21/2015,4342,4345,4220.5,4267.25,4267.25,320027
9/22/2015,4264.25,4292.75,4221.5,4262.75,4262.75,238547
9/23/2015,4268.5,4278.75,4185.25,4246,4246,355070
9/24/2015,4232,4315.75,4185.5,4213.5,4213.5,344913
9/27/2015,4202.5,4239,4079.5,4094.75,4094.75,360675
9/28/2015,4106.25,4144.25,4040.75,4074.75,4074.75,427261
9/29/2015,4078.75,4169,4066,4163,4163,347070
9/30/2015,4154,4225.75,4116.25,4187.5,4187.5,367790
10/1/2015,4188.25,4263.75,4111.5,4261.25,4261.25,404892
10/4/2015,4257.75,4329.75,4250.5,4311.25,4311.25,242309
10/5/2015,4307.75,4322,4263.5,4290.25,4290.25,264372
10/6/2015,4275,4333.75,4268,4323.75,4323.75,329985
10/7/2015,4324,4348.25,4265,4344.75,4344.75,317019
10/8/2015,4338,4369.25,4324.5,4359.5,4359.5,208829
10/11/2015,4355,4381.5,4346.25,4375,4375,132675
10/12/2015,4377,4390.75,4338.5,4341.25,4341.25,232729
10/13/2015,4334.25,4365.25,4317.5,4326.5,4326.5,284807
10/14/2015,4335.25,4412,4332.5,4411.75,4411.75,275986
10/15/2015,4409.75,4439,4396,4434.75,4434.75,207248
10/18/2015,4434.5,4455.5,4411,4454.5,4454.5,202407
10/19/2015,4451.5,4456,4414,4424.75,4424.75,200211
10/20/2015,4422.75,4456.25,4394.75,4399.25,4399.25,289766
10/21/2015,4406.75,4565.5,4402,4552.75,4552.75,348494
10/22/2015,4562.25,4637.5,4562,4611.5,4611.5,361589
10/25/2015,4614,4630,4592.75,4616.25,4616.25,184127
10/26/2015,4619.75,4651.75,4601.25,4632.25,4632.25,217939
10/27/2015,4635.25,4678.25,4600.5,4673.75,4673.75,306875
10/28/2015,4664.25,4670.25,4642.75,4661.75,4661.75,184529
10/29/2015,4666,4690.25,4636,4643.25,4643.25,211241
11/2/2015,4644.5,4699.5,4625,4694,4694,162655
11/3/2015,4688.25,4727.5,4677,4712,4712,186758
11/4/2015,4711.75,4729.75,4691.25,4709.5,4709.5,231004
11/5/2015,4708.25,4727.5,4673.75,4695.25,4695.25,246167
11/6/2015,4700.75,4708.75,4658.75,4703,4703,276682
11/9/2015,4701.25,4712.75,4622,4652.75,4652.75,256938
11/10/2015,4650,4662.25,4612.5,4643,4643,241859
11/11/2015,4640.25,4674.75,4625.25,4631.75,4631.75,221698
11/12/2015,4631.25,4653.25,4581.25,4585.25,4585.25,268158
11/13/2015,4583.75,4590.5,4485.75,4502,4502,344229
11/16/2015,4478.25,4565.5,4455,4559.75,4559.75,282188
11/17/2015,4560.75,4597.75,4552,4569.5,4569.5,269684
11/18/2015,4570.25,4656.75,4556.25,4652.5,4652.5,242823
11/19/2015,4649.75,4677,4646.75,4660,4660,217266
11/20/2015,4656.75,4691.5,4652.25,4689.5,4689.5,177125
11/23/2015,4689.5,4706.75,4653.75,4675.75,4675.75,163322
11/24/2015,4673.75,4684.5,4620,4666,4666,230131
11/25/2015,4665,4684.5,4659.5,4677.25,4677.25,119712
11/27/2015,4679.75,4703.25,4664.75,4682.5,4682.5,105382
11/30/2015,4685.5,4700.5,4653.5,4668.75,4668.75,179766
12/1/2015,4678.75,4716.75,4676.5,4716.25,4716.25,228425
12/2/2015,4715,4739.5,4678.5,4694.5,4694.5,231812
12/3/2015,4698.75,4730.25,4579,4611,4611,379530
12/4/2015,4616,4723.25,4603,4713.25,4713.25,305073
12/7/2015,4721.25,4730,4670.5,4701,4701,224657
12/8/2015,4699.75,4709,4641.25,4687.25,4687.25,299288
12/9/2015,4690.5,4707.5,4593.25,4616,4616,388709
12/10/2015,4624,4674.5,4618.25,4644,4644,302768
12/11/2015,4646.25,4659,4527.5,4539.25,4539.25,226524
12/14/2015,4534.5,4579.5,4477.25,4566.5,4566.5,156220
12/15/2015,4571.5,4639,4566.75,4606,4606,151196
12/16/2015,4607.5,4674.5,4580,4663,4663,71664
12/17/2015,4656.75,4689.5,4574,4577.75,4577.75,49751
12/18/2015,4577,4597,4552.5,4576,4576,340479
12/21/2015,4513.75,4571.75,4511.75,4563,4563,176610
12/22/2015,4569,4594.5,4541.25,4591,4591,166650
12/23/2015,4590.5,4620.25,4583,4606.75,4606.75,147737
12/24/2015,4607.75,4630,4600.75,4611,4611,62054
12/28/2015,4611,4619.5,4571.5,4613.75,4613.75,113567
12/29/2015,4617.75,4697.75,4610.5,4690.5,4690.5,158098
12/30/2015,4687.25,4695,4643.5,4646,4646,117427
12/31/2015,4648,4655,4579.5,4587.75,4587.75,160705
1/4/2016,4592.5,4606.75,4429.75,4504.5,4504.5,368671
1/5/2016,4505.5,4523,4457.25,4483.75,4483.75,301175
1/6/2016,4482,4487.5,4386,4446.75,4446.75,346779
1/7/2016,4450.25,4458.5,4283,4289.25,4289.25,501315
1/8/2016,4298,4370,4255.75,4261.5,4261.5,480513
1/11/2016,4264.25,4304.5,4208.75,4273,4273,435576
1/12/2016,4272.25,4345.75,4236.5,4312.75,4312.75,417581
1/13/2016,4308.75,4365,4167.25,4175.75,4175.75,521065
1/14/2016,4181.5,4300.5,4124,4257.5,4257.5,526505
1/15/2016,4255,4268.75,4075.75,4140.75,4140.75,567530
1/18/2016,4190.875,4242.25,4083.5,4142.625,4142.625,521645
1/19/2016,4126.75,4215.75,4091.25,4144.5,4144.5,475760
1/20/2016,4141,4171.5,3983.5,4133,4133,628240
1/21/2016,4130.75,4192.25,4085.75,4130.25,4130.25,554096
1/22/2016,4126.25,4253,4119,4247.5,4247.5,328593
1/25/2016,4247.5,4260,4179.25,4186.75,4186.75,287599
1/26/2016,4190,4243.75,4133,4226.75,4226.75,327223
1/27/2016,4195.25,4218.75,4102,4127,4127,408523
1/28/2016,4150.25,4199,4106.75,4153.75,4153.75,414082
1/29/2016,4135,4271.25,4129,4263,4263,328862
2/1/2016,4263.25,4309.25,4228.5,4291.5,4291.5,263363
2/2/2016,4286.5,4287,4170.75,4192,4192,314726
2/3/2016,4186,4215,4090.5,4171.5,4171.5,484500
2/4/2016,4169.75,4206.5,4113.5,4155.75,4155.75,383175
2/5/2016,4146.5,4173.5,4001,4022,4022,443077
2/8/2016,4027.25,4046,3883,3964.25,3964.25,542371
2/9/2016,3958.5,4004,3897.5,3944.25,3944.25,499993
2/10/2016,3954.5,4041,3922.25,3967.25,3967.25,426911
2/11/2016,3963,3985.5,3862.5,3961.25,3961.25,504866
2/12/2016,3963.25,4017.5,3953,4006.25,4006.25,307347
2/15/2016,3992.375,4061.125,3987.25,4049.5,4049.5,313967.5
2/16/2016,4021.5,4104.75,4021.5,4092.75,4092.75,320588
2/17/2016,4089.75,4211.5,4068.25,4196.75,4196.75,291649
2/18/2016,4208.25,4227.5,4144,4155,4155,254579
2/19/2016,4156.25,4175,4120.25,4161,4161,229019
2/22/2016,4155.25,4234,4146.5,4214.75,4214.75,189979
2/23/2016,4207.25,4216.5,4154.5,4159.25,4159.25,227805
2/24/2016,4156.5,4218.5,4084.75,4208.5,4208.5,336253
2/25/2016,4214.5,4247.75,4170.25,4244.25,4244.25,265546
2/26/2016,4243,4293.25,4225,4230,4230,272803
2/29/2016,4225.25,4263.25,4184.5,4201.25,4201.25,250315
3/1/2016,4199.25,4338.75,4180.25,4337.75,4337.75,295763
3/2/2016,4334.5,4357.75,4299.25,4329.25,4329.25,265748
3/3/2016,4326.75,4344.5,4293.5,4320.25,4320.25,202256
3/4/2016,4323,4355,4298,4322.5,4322.5,289076
3/7/2016,4321,4330,4268.75,4300,4300,246815
3/8/2016,4301,4308.75,4251.5,4270.5,4270.5,293547
3/9/2016,4271,4299,4256.75,4294.5,4294.5,238221
3/10/2016,4295.25,4347.5,4229.75,4285,4285,392234
3/11/2016,4287.25,4361.25,4282.5,4352.75,4352.75,156647
3/13/2016,4352.75,4378.25,4340.5,4366,4366,106669
3/14/2016,4364.75,4372,4338,4364.5,4364.5,71625
3/15/2016,4366.25,4416.5,4349,4397.5,4397.5,65619
3/16/2016,4396.75,4422,4369,4402.25,4402.25,51815
3/17/2016,4404.75,4418.25,4394,4414.25,4414.25,240454
3/20/2016,4394.75,4421.25,4376.75,4416.25,4416.25,169724
3/21/2016,4416,4440.5,4383.75,4434.5,4434.5,190219
3/22/2016,4434.75,4441.25,4383.25,4395.5,4395.5,212040
3/23/2016,4395,4401,4365,4397.25,4397.25,196013
3/27/2016,4401.5,4425.75,4381.5,4389.5,4389.5,133720
3/28/2016,4389.75,4463.5,4374,4458.25,4458.25,229527
3/29/2016,4460.75,4510.25,4456.5,4482,4482,222490
3/30/2016,4480.25,4495.5,4462.25,4476.25,4476.25,190526
3/31/2016,4477.75,4529.5,4441.5,4528.5,4528.5,245916
4/3/2016,4526.75,4543.75,4495.25,4500.25,4500.25,189635
4/4/2016,4499.75,4501.5,4456.5,4469.5,4469.5,218944
4/5/2016,4476,4537.75,4467.25,4535,4535,241958
4/6/2016,4533.5,4539.5,4450.75,4470.25,4470.25,260817
4/7/2016,4467.5,4509.75,4451.5,4467.25,4467.25,232565
4/10/2016,4470,4509.75,4446,4451.5,4451.5,243297
4/11/2016,4447,4497.5,4426.5,4490,4490,252487
4/12/2016,4489,4553.75,4486.75,4547.75,4547.75,228380
4/13/2016,4546.5,4563.25,4530.5,4546.25,4546.25,163850
4/14/2016,4548.75,4554.5,4523,4538.5,4538.5,171811
4/17/2016,4518.75,4561.25,4501,4546.5,4546.5,179869
4/18/2016,4545.5,4584.5,4506.75,4526.75,4526.75,256892
4/19/2016,4528.25,4556,4509,4535.75,4535.75,193071
4/20/2016,4533.25,4551.75,4488,4497.75,4497.75,239652
4/21/2016,4488.25,4501.75,4431,4465.75,4465.75,285544
4/24/2016,4477,4479.75,4436,4472.25,4472.25,172474
4/25/2016,4472.25,4489.75,4407,4452.5,4452.5,212776
4/26/2016,4405,4433.75,4372.25,4423.75,4423.75,306378
4/27/2016,4432,4442.25,4346.25,4382,4382,306766
4/28/2016,4383.5,4391.25,4296.75,4331.5,4331.5,402426
5/1/2016,4337,4378.5,4318,4369,4369,221470
5/2/2016,4372,4374.5,4319.5,4334.5,4334.5,270601
5/3/2016,4335.5,4342,4292.25,4309.75,4309.75,235256
5/4/2016,4308.25,4342.5,4292.5,4300.25,4300.25,221674
5/5/2016,4299.25,4333.75,4271,4328.25,4328.25,262686
5/8/2016,4329.75,4356.5,4318,4335.75,4335.75,206931
5/9/2016,4334.75,4398.75,4323.75,4392,4392,204247
5/10/2016,4394.25,4403,4350.75,4351.5,4351.5,208025
5/11/2016,4352.5,4381.75,4305.75,4334.75,4334.75,262049
5/12/2016,4337.25,4360.5,4303.75,4324,4324,249877
5/15/2016,4316,4392,4305.5,4375.25,4375.25,197887
5/16/2016,4372.75,4393.75,4308,4319.5,4319.5,256918
5/17/2016,4321,4359,4301,4332.25,4332.25,305289
5/18/2016,4337.75,4340.75,4280.75,4317.25,4317.25,272694
5/19/2016,4317,4379,4314.5,4362.25,4362.25,244244
5/22/2016,4367.75,4381.5,4348.25,4352.5,4352.5,167178
5/23/2016,4351.5,4448.75,4341.75,4445.25,4445.25,239635
5/24/2016,4445.5,4489.5,4443,4474.75,4474.75,253726
5/25/2016,4473.5,4495.5,4463.5,4492.25,4492.25,163693
5/26/2016,4494,4513.5,4490.25,4510,4510,153739
5/30/2016,4518.25,4528.25,4497.5,4524.25,4524.25,209605
5/31/2016,4522,4537.5,4502.75,4521.5,4521.5,194470
6/1/2016,4520.5,4533,4486.25,4532.25,4532.25,179288
6/2/2016,4530.25,4538.75,4478.75,4509,4509,225458
6/5/2016,4511,4536.5,4504,4525.5,4525.5,164530
6/6/2016,4524.5,4545.5,4511.25,4514.25,4514.25,155623
6/7/2016,4512.5,4530.25,4504,4519,4519,172285
6/8/2016,4518.25,4522.5,4493.5,4512,4512,236706
6/9/2016,4513,4514.25,4446.25,4465.75,4465.75,141333
6/12/2016,4458.75,4461.75,4419.25,4426.25,4426.25,115256
6/13/2016,4419.25,4440.5,4391.75,4425.25,4425.25,94710
6/14/2016,4424,4444,4404.25,4412.75,4412.75,68451
6/15/2016,4409.75,4429,4361,4424.75,4424.75,49749
6/16/2016,4423.25,4439.5,4410,4417.25,4417.25,250757
6/19/2016,4383,4436.75,4383,4390,4390,195423
6/20/2016,4398.5,4415.75,4388.25,4400.25,4400.25,194521
6/21/2016,4397.25,4434,4391,4394.5,4394.5,190665
6/22/2016,4409.75,4479.25,4408,4462.5,4462.5,194791
6/23/2016,4482.75,4494,4234.5,4262.25,4262.25,497350
6/26/2016,4250,4267.75,4167.75,4178,4178,413249
6/27/2016,4176.25,4284.5,4176,4281,4281,258268
6/28/2016,4281.25,4380,4268.25,4362.75,4362.75,260013
6/29/2016,4375,4410.5,4338.5,4407,4407,242965
6/30/2016,4397,4446.25,4386.25,4433.25,4433.25,176656
7/4/2016,4438.75,4451.5,4377.5,4404,4404,200656
7/5/2016,4406,4440.5,4365.75,4439.5,4439.5,253791
7/6/2016,4434.75,4461.25,4427.5,4452.25,4452.25,184871
7/7/2016,4451.75,4523.25,4439.75,4517.25,4517.25,234625
7/10/2016,4519.5,4563.5,4515.75,4549.5,4549.5,182422
7/11/2016,4552.75,4582,4546.75,4569.75,4569.75,190097
7/12/2016,4571.75,4584.5,4558.5,4561.25,4561.25,190027
7/13/2016,4561,4608.25,4553.5,4590,4590,191874
7/14/2016,4585,4603.5,4550.25,4579.25,4579.25,171716
7/17/2016,4580,4621.75,4577,4608.25,4608.25,183261
7/18/2016,4609.5,4611.25,4588.25,4606.5,4606.5,165175
7/19/2016,4609,4659,4597.75,4650.5,4650.5,182311
7/20/2016,4654,4662.25,4626.75,4638.25,4638.25,181960
7/21/2016,4638.5,4664.5,4628.5,4657.25,4657.25,152974
7/24/2016,4659.25,4669.5,4643.5,4653.75,4653.75,146154
7/25/2016,4658.5,4688.25,4641,4663.75,4663.75,209762
7/26/2016,4691.25,4714,4676.75,4707.75,4707.75,230410
7/27/2016,4710.25,4732,4689.5,4719.75,4719.75,220001
7/28/2016,4731.75,4736.5,4709,4726.75,4726.75,207360
7/31/2016,4737.5,4760.25,4721,4744.5,4744.5,199516
8/1/2016,4749.25,4759.5,4681.75,4714.25,4714.25,261263
8/2/2016,4713.25,4729.25,4698,4728.25,4728.25,170596
8/3/2016,4726.5,4747,4715,4743.75,4743.75,167881
8/4/2016,4745,4797.75,4742.5,4783,4783,180947
8/7/2016,4784.75,4800.75,4766.25,4779.25,4779.25,132186
8/8/2016,4780.5,4807.75,4777.5,4791.75,4791.75,134336
8/9/2016,4793.5,4800.25,4767.25,4781.5,4781.5,141495
8/10/2016,4782.25,4811,4775.75,4800,4800,147601
8/11/2016,4800,4806.75,4787,4804.25,4804.25,131960
8/14/2016,4806.75,4835.25,4805,4822.75,4822.75,130170
8/15/2016,4822.75,4824.5,4796.5,4798.5,4798.5,156061
8/16/2016,4800.75,4809.75,4772,4804,4804,197778
8/17/2016,4808.25,4814,4792.75,4808.5,4808.5,149002
8/18/2016,4808,4816.75,4785,4807,4807,194623
8/21/2016,4809.25,4818,4789.5,4811.75,4811.75,196397
8/22/2016,4809.25,4836.75,4807.75,4817,4817,160448
8/23/2016,4818.5,4823.5,4770.75,4786.25,4786.25,190472
8/24/2016,4786.5,4794,4768.25,4782.25,4782.25,194394
8/25/2016,4783.5,4817.5,4757.25,4785.75,4785.75,281261
8/28/2016,4786,4805.75,4774,4793.25,4793.25,146925
8/29/2016,4795,4798.5,4759.75,4776,4776,186259
8/30/2016,4778.25,4779.25,4751.5,4773.75,4773.75,198477
8/31/2016,4774,4795.25,4749.5,4777.5,4777.5,248348
9/1/2016,4777.5,4817.75,4774.25,4795.25,4795.25,227919
9/5/2016,4801.25,4831.5,4782.25,4827.5,4827.5,208188
9/6/2016,4830.25,4839.5,4812.5,4828.75,4828.75,193455
9/7/2016,4827.75,4837,4789.5,4796,4796,251333
